"","prob","source","cut"
"1",1,"obs",1
"2",1,"obs",2
"3",1,"obs",3
"4",1,"obs",4
"5",1,"obs",5
"6",0.997050147492625,"obs",6
"7",0.997050147492625,"obs",7
"8",0.997050147492625,"obs",8
"9",0.994100294985251,"obs",9
"10",0.991150442477876,"obs",10
"11",0.970501474926254,"obs",11
"12",0.914454277286136,"obs",12
"13",0.672566371681416,"obs",13
"14",0.51622418879056,"obs",14
"15",0.327433628318584,"obs",15
"16",0.144542772861357,"obs",16
"17",0.0265486725663717,"obs",17
"18",0.00589970501474926,"obs",18
"19",0,"obs",19
"20",0,"obs",20
"21",1,"rando",1
"22",0.99998,"rando",2
"23",0.99985,"rando",3
"24",0.99888,"rando",4
"25",0.99511,"rando",5
"26",0.98194,"rando",6
"27",0.94844,"rando",7
"28",0.87673,"rando",8
"29",0.7562,"rando",9
"30",0.59131,"rando",10
"31",0.40482,"rando",11
"32",0.23694,"rando",12
"33",0.11509,"rando",13
"34",0.04493,"rando",14
"35",0.01376,"rando",15
"36",0.00327,"rando",16
"37",0.00043,"rando",17
"38",5e-05,"rando",18
"39",1e-05,"rando",19
"40",0,"rando",20
"41",1,"pseudo",1
"42",0.999980002799608,"pseudo",2
"43",0.999980002799608,"pseudo",3
"44",0.998220249165117,"pseudo",4
"45",0.996900433939249,"pseudo",5
"46",0.979722838802568,"pseudo",6
"47",0.964614953906453,"pseudo",7
"48",0.892785010098586,"pseudo",8
"49",0.819525266462695,"pseudo",9
"50",0.662457255984162,"pseudo",10
"51",0.495950566920631,"pseudo",11
"52",0.276401303817466,"pseudo",12
"53",0.147539344491771,"pseudo",13
"54",0.0495330653708481,"pseudo",14
"55",0.0120683104365389,"pseudo",15
"56",0.00259963605095287,"pseudo",16
"57",0.000229967804507369,"pseudo",17
"58",2.99958005879177e-05,"pseudo",18
"59",0,"pseudo",19
"60",0,"pseudo",20
