"","numresponse","avg","std","category"
"1",0,0.2,0.774596669241483,"observed"
"2",1,3.7,1.03109548284184,"observed"
"3",2,7.21052631578947,1.27677581127688,"observed"
"4",3,11.1176470588235,1.48333412016471,"observed"
"5",4,14.3829787234043,2.44116305340423,"observed"
"6",5,15.0714285714286,3.38765264987284,"observed"
"7",6,14.6666666666667,3.89249472080762,"observed"
"8",7,14.8,3.03315017762062,"observed"
"9",8,15.25,3.86221007541882,"observed"
"10",9,14,NA,"observed"
"11",11,2,NA,"observed"
"12",0,0,0,"pseudo"
"13",1,2.9505,1.02905570576357,"pseudo"
"14",2,5.8724,1.42468284615251,"pseudo"
"15",3,8.8363,1.61355590738797,"pseudo"
"16",4,11.8028,1.77172968101973,"pseudo"
"17",5,11.3551,1.89788413408686,"pseudo"
"18",6,11.1876,2.03519543092161,"pseudo"
"19",7,10.8732,2.11101098925128,"pseudo"
"20",8,10.58,2.1516651612871,"pseudo"
"21",9,10.2812,2.21824674503586,"pseudo"
"22",11,9.6918,2.22465900100826,"pseudo"
"23",0,0,0,"random"
"24",1,3.11764705882353,1.12181416606001,"random"
"25",2,5.41441441441441,1.86580944397998,"random"
"26",3,6.9010989010989,2.31323867537593,"random"
"27",4,8.10131108462455,2.5493666576972,"random"
"28",5,9.0183615819209,2.66020570936959,"random"
"29",6,9.52367370222476,2.64070562960662,"random"
"30",7,9.78921298844249,2.55880923901752,"random"
"31",8,9.94980940279543,2.48722546048881,"random"
"32",9,9.9094304388422,2.35578721738927,"random"
"33",10,9.98653198653199,2.40218150429609,"random"
"34",11,9.72111553784861,2.19679592830049,"random"
